# started on Fri Apr  3 17:39:54 2026

#           time             counts unit events
    15.017007446         18,855,626      branch-misses                    #    5.04% of all branches             (44.89%)
    15.017007446        515,404,400      L1-dcache-loads                                                         (44.99%)
    15.017007446         31,475,863      L1-dcache-load-misses            #    6.11% of all L1-dcache accesses   (18.39%)
    15.017007446    <not supported>      L1-icache-loads                                                       
    15.017007446         35,143,983      L1-icache-load-misses                                                   (18.28%)
    15.017007446         13,546,543      LLC-loads                                                               (27.56%)
    15.017007446          3,975,789      LLC-load-misses                  #   29.35% of all LL-cache accesses    (36.62%)
    15.017007446          3,331,973      dTLB-load-misses                                                        (36.72%)
    15.017007446            731,348      iTLB-load-misses                                                        (36.73%)
    15.017007446             14,988      minor-faults                                                          
    15.017007446                  0      major-faults                                                          
    16.018005042      2,111,212,090      cycles                                                                  (36.79%)
    16.018005042      1,894,313,609      instructions                     #    0.90  insn per cycle              (45.82%)
    16.018005042        388,691,362      branches                                                                (45.74%)
    16.018005042         18,945,380      branch-misses                    #    4.87% of all branches             (45.68%)
    16.018005042        538,374,620      L1-dcache-loads                                                         (45.26%)
    16.018005042         33,852,907      L1-dcache-load-misses            #    6.29% of all L1-dcache accesses   (17.94%)
    16.018005042    <not supported>      L1-icache-loads                                                       
    16.018005042         33,596,320      L1-icache-load-misses                                                   (18.05%)
    16.018005042         14,097,859      LLC-loads                                                               (26.97%)
    16.018005042          4,178,177      LLC-load-misses                  #   29.64% of all LL-cache accesses    (36.16%)
    16.018005042          3,370,658      dTLB-load-misses                                                        (36.37%)
    16.018005042            749,337      iTLB-load-misses                                                        (36.69%)
    16.018005042             15,685      minor-faults                                                          
    16.018005042                  0      major-faults                                                          
    17.019011922      2,118,014,849      cycles                                                                  (35.90%)
    17.019011922      1,888,505,919      instructions                     #    0.89  insn per cycle              (45.00%)
    17.019011922        380,216,779      branches                                                                (45.29%)
    17.019011922         19,568,353      branch-misses                    #    5.15% of all branches             (45.58%)
    17.019011922        527,831,156      L1-dcache-loads                                                         (45.77%)
    17.019011922         36,625,742      L1-dcache-load-misses            #    6.94% of all L1-dcache accesses   (18.41%)
    17.019011922    <not supported>      L1-icache-loads                                                       
    17.019011922         35,218,798      L1-icache-load-misses                                                   (18.34%)
    17.019011922         13,792,570      LLC-loads                                                               (27.43%)
    17.019011922          3,811,637      LLC-load-misses                  #   27.64% of all LL-cache accesses    (36.34%)
    17.019011922          3,215,983      dTLB-load-misses                                                        (36.01%)
    17.019011922            720,635      iTLB-load-misses                                                        (35.89%)
    17.019011922             14,075      minor-faults                                                          
    17.019011922                  0      major-faults                                                          
    18.020146185      2,115,615,813      cycles                                                                  (36.36%)
    18.020146185      1,841,809,892      instructions                     #    0.87  insn per cycle              (45.46%)
    18.020146185        369,814,559      branches                                                                (44.96%)
    18.020146185         18,686,072      branch-misses                    #    5.05% of all branches             (44.82%)
    18.020146185        497,657,930      L1-dcache-loads                                                         (45.20%)
    18.020146185         37,682,285      L1-dcache-load-misses            #    7.57% of all L1-dcache accesses   (18.24%)
    18.020146185    <not supported>      L1-icache-loads                                                       
    18.020146185         38,979,223      L1-icache-load-misses                                                   (18.04%)
    18.020146185         16,169,812      LLC-loads                                                               (27.33%)
    18.020146185          3,543,962      LLC-load-misses                  #   21.92% of all LL-cache accesses    (36.84%)
    18.020146185          3,507,943      dTLB-load-misses                                                        (36.95%)
    18.020146185            846,008      iTLB-load-misses                                                        (36.76%)
    18.020146185             11,530      minor-faults                                                          
    18.020146185                  0      major-faults                                                          
    19.020788124      2,105,105,952      cycles                                                                  (36.42%)
    19.020788124      1,870,423,438      instructions                     #    0.89  insn per cycle              (45.62%)
    19.020788124        368,137,888      branches                                                                (45.47%)
    19.020788124         18,216,864      branch-misses                    #    4.95% of all branches             (45.42%)
    19.020788124        512,896,160      L1-dcache-loads                                                         (45.44%)
    19.020788124         38,676,430      L1-dcache-load-misses            #    7.54% of all L1-dcache accesses   (18.32%)
    19.020788124    <not supported>      L1-icache-loads                                                       
    19.020788124         37,037,242      L1-icache-load-misses                                                   (18.23%)
    19.020788124         15,294,312      LLC-loads                                                               (27.29%)
    19.020788124          3,431,325      LLC-load-misses                  #   22.44% of all LL-cache accesses    (36.31%)
    19.020788124          3,253,274      dTLB-load-misses                                                        (36.24%)
    19.020788124            795,784      iTLB-load-misses                                                        (36.33%)
    19.020788124             10,106      minor-faults                                                          
    19.020788124                  0      major-faults                                                          
    20.022006424      2,119,001,249      cycles                                                                  (35.93%)
    20.022006424      2,025,436,986      instructions                     #    0.96  insn per cycle              (45.04%)
    20.022006424        408,670,721      branches                                                                (45.24%)
    20.022006424         16,787,843      branch-misses                    #    4.11% of all branches             (45.55%)
    20.022006424        593,184,410      L1-dcache-loads                                                         (45.65%)
    20.022006424         36,925,690      L1-dcache-load-misses            #    6.22% of all L1-dcache accesses   (18.41%)
    20.022006424    <not supported>      L1-icache-loads                                                       
    20.022006424         38,070,753      L1-icache-load-misses                                                   (18.62%)
    20.022006424         13,974,527      LLC-loads                                                               (27.63%)
    20.022006424          3,339,525      LLC-load-misses                  #   23.90% of all LL-cache accesses    (36.44%)
    20.022006424          3,318,053      dTLB-load-misses                                                        (36.03%)
    20.022006424            799,033      iTLB-load-misses                                                        (35.72%)
    20.022006424             12,045      minor-faults                                                          
    20.022006424                  0      major-faults                                                          
    21.023030997      2,119,178,946      cycles                                                                  (36.34%)
    21.023030997      2,302,032,195      instructions                     #    1.09  insn per cycle              (45.44%)
    21.023030997        460,310,037      branches                                                                (45.24%)
    21.023030997         15,594,857      branch-misses                    #    3.39% of all branches             (45.23%)
    21.023030997        681,257,386      L1-dcache-loads                                                         (45.14%)
    21.023030997         35,076,342      L1-dcache-load-misses            #    5.15% of all L1-dcache accesses   (18.22%)
    21.023030997    <not supported>      L1-icache-loads                                                       
    21.023030997         37,283,721      L1-icache-load-misses                                                   (18.42%)
    21.023030997         13,054,468      LLC-loads                                                               (27.54%)
    21.023030997          3,070,777      LLC-load-misses                  #   23.52% of all LL-cache accesses    (36.75%)
    21.023030997          3,013,832      dTLB-load-misses                                                        (36.55%)
    21.023030997            677,359      iTLB-load-misses                                                        (36.44%)
    21.023030997             11,180      minor-faults                                                          
    21.023030997                  0      major-faults                                                          
    22.024398790      2,120,553,222      cycles                                                                  (35.64%)
    22.024398790      2,527,060,271      instructions                     #    1.19  insn per cycle              (44.55%)
    22.024398790        506,115,853      branches                                                                (44.64%)
    22.024398790         15,595,045      branch-misses                    #    3.08% of all branches             (45.09%)
    22.024398790        755,062,097      L1-dcache-loads                                                         (45.60%)
    22.024398790         33,806,707      L1-dcache-load-misses            #    4.48% of all L1-dcache accesses   (18.61%)
    22.024398790    <not supported>      L1-icache-loads                                                       
