# started on Fri Apr  3 17:25:53 2026

#           time             counts   unit events
   249.568637055             100.47 Joules power/energy-pkg/                                                     
   250.569630986             100.29 Joules power/energy-pkg/                                                     
   251.570635218              98.28 Joules power/energy-pkg/                                                     
   252.571639115              97.16 Joules power/energy-pkg/                                                     
   253.572645872              96.87 Joules power/energy-pkg/                                                     
   254.608958687             100.08 Joules power/energy-pkg/                                                     
   255.609649146              97.21 Joules power/energy-pkg/                                                     
   256.610629523              97.07 Joules power/energy-pkg/                                                     
   257.611648443              96.88 Joules power/energy-pkg/                                                     
   258.612615070              95.74 Joules power/energy-pkg/                                                     
   259.613634868              97.88 Joules power/energy-pkg/                                                     
   260.614619714              96.50 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   261.615640972              97.30 Joules power/energy-pkg/                                                     
   262.616646460              94.28 Joules power/energy-pkg/                                                     
   263.617645602              93.76 Joules power/energy-pkg/                                                     
   264.618647695              94.00 Joules power/energy-pkg/                                                     
   265.619646988              94.16 Joules power/energy-pkg/                                                     
   266.620638648              94.67 Joules power/energy-pkg/                                                     
   267.621640580              96.62 Joules power/energy-pkg/                                                     
   268.622612625              95.02 Joules power/energy-pkg/                                                     
   269.623608604              96.40 Joules power/energy-pkg/                                                     
   270.624645829              98.66 Joules power/energy-pkg/                                                     
   271.625640041              97.74 Joules power/energy-pkg/                                                     
   272.626610155             111.64 Joules power/energy-pkg/                                                     
   273.627633062              99.82 Joules power/energy-pkg/                                                     
   274.631605172              97.82 Joules power/energy-pkg/                                                     
   275.632631346              99.00 Joules power/energy-pkg/                                                     
   276.633629464              99.03 Joules power/energy-pkg/                                                     
   277.634616576             100.00 Joules power/energy-pkg/                                                     
   278.635610134             101.38 Joules power/energy-pkg/                                                     
   279.636636822             103.09 Joules power/energy-pkg/                                                     
   280.638612105             101.72 Joules power/energy-pkg/                                                     
   281.639615696             101.34 Joules power/energy-pkg/                                                     
   282.640615290              94.21 Joules power/energy-pkg/                                                     
   283.641610040              95.82 Joules power/energy-pkg/                                                     
   284.642638515              96.58 Joules power/energy-pkg/                                                     
   285.643611466              96.76 Joules power/energy-pkg/                                                     
   286.644652926              94.74 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   287.645668613              93.40 Joules power/energy-pkg/                                                     
   288.646634191              93.11 Joules power/energy-pkg/                                                     
   289.647649765              95.35 Joules power/energy-pkg/                                                     
   290.649758393              95.14 Joules power/energy-pkg/                                                     
   291.650613006              95.37 Joules power/energy-pkg/                                                     
