# started on Fri Apr  3 17:41:39 2026

#           time             counts   unit events
   263.892442609              95.44 Joules power/energy-pkg/                                                     
   264.893469346              94.89 Joules power/energy-pkg/                                                     
   265.894449787              92.48 Joules power/energy-pkg/                                                     
   266.895427646              92.24 Joules power/energy-pkg/                                                     
   267.896437856              95.67 Joules power/energy-pkg/                                                     
   268.898413178              95.53 Joules power/energy-pkg/                                                     
   269.899440018              94.16 Joules power/energy-pkg/                                                     
   270.900445794              95.81 Joules power/energy-pkg/                                                     
   271.901440748              92.39 Joules power/energy-pkg/                                                     
   272.902447062              95.05 Joules power/energy-pkg/                                                     
   273.903444042              98.16 Joules power/energy-pkg/                                                     
   274.904439402              95.84 Joules power/energy-pkg/                                                     
   275.905412899              94.65 Joules power/energy-pkg/                                                     
   276.906432223              92.85 Joules power/energy-pkg/                                                     
   277.907435944              93.16 Joules power/energy-pkg/                                                     
   278.909421930              93.42 Joules power/energy-pkg/                                                     
   279.910450067              92.66 Joules power/energy-pkg/                                                     
   280.911436210              93.01 Joules power/energy-pkg/                                                     
   281.912423948              90.61 Joules power/energy-pkg/                                                     
   282.913445276              92.32 Joules power/energy-pkg/                                                     
   283.914436966              93.94 Joules power/energy-pkg/                                                     
   284.918441938              89.60 Joules power/energy-pkg/                                                     
   285.919417518              92.61 Joules power/energy-pkg/                                                     
   286.920429379              98.18 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   287.921448216              93.78 Joules power/energy-pkg/                                                     
   288.922441208              94.44 Joules power/energy-pkg/                                                     
   289.923450544              93.71 Joules power/energy-pkg/                                                     
   290.926452518              94.65 Joules power/energy-pkg/                                                     
   291.927418409              93.95 Joules power/energy-pkg/                                                     
   292.929452848              93.28 Joules power/energy-pkg/                                                     
   293.930446596              95.50 Joules power/energy-pkg/                                                     
   294.932441581              86.71 Joules power/energy-pkg/                                                     
   295.933440487              90.65 Joules power/energy-pkg/                                                     
   296.934417310              89.25 Joules power/energy-pkg/                                                     
   297.935444959              88.11 Joules power/energy-pkg/                                                     
   298.936443026              87.80 Joules power/energy-pkg/                                                     
   299.937448677              86.27 Joules power/energy-pkg/                                                     
   300.938441834              89.27 Joules power/energy-pkg/                                                     
   301.939445999              95.08 Joules power/energy-pkg/                                                     
   302.940441902              92.43 Joules power/energy-pkg/                                                     
   303.941441957              93.15 Joules power/energy-pkg/                                                     
   304.942441020              89.54 Joules power/energy-pkg/                                                     
   305.943440609              94.24 Joules power/energy-pkg/                                                     
   306.944443305              94.58 Joules power/energy-pkg/                                                     
   307.945439245              94.73 Joules power/energy-pkg/                                                     
   308.947437945             100.68 Joules power/energy-pkg/                                                     
   309.951447240              96.34 Joules power/energy-pkg/                                                     
   310.952441127             100.98 Joules power/energy-pkg/                                                     
   311.953442555             100.16 Joules power/energy-pkg/                                                     
   312.954443110              99.88 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   313.955410763             101.36 Joules power/energy-pkg/                                                     
   314.956414586              99.60 Joules power/energy-pkg/                                                     
   315.957660149             101.67 Joules power/energy-pkg/                                                     
   316.958927401             104.80 Joules power/energy-pkg/                                                     
   317.960222199             104.84 Joules power/energy-pkg/                                                     
   318.961524908             105.41 Joules power/energy-pkg/                                                     
   319.962847651              99.12 Joules power/energy-pkg/                                                     
   320.964152207             100.16 Joules power/energy-pkg/                                                     
   321.965436027              99.11 Joules power/energy-pkg/                                                     
   322.966700078              97.05 Joules power/energy-pkg/                                                     
   323.967990603              97.05 Joules power/energy-pkg/                                                     
   324.969290234              96.38 Joules power/energy-pkg/                                                     
   325.970596942              97.16 Joules power/energy-pkg/                                                     
   326.971881436              97.87 Joules power/energy-pkg/                                                     
   327.973180812              98.06 Joules power/energy-pkg/                                                     
   328.974515285              95.15 Joules power/energy-pkg/                                                     
   329.975829171              93.04 Joules power/energy-pkg/                                                     
   330.977070848              89.69 Joules power/energy-pkg/                                                     
   331.978342609              89.34 Joules power/energy-pkg/                                                     
   332.979614625              89.38 Joules power/energy-pkg/                                                     
   333.980861150              88.79 Joules power/energy-pkg/                                                     
   334.982131013              89.15 Joules power/energy-pkg/                                                     
   335.983442100              91.72 Joules power/energy-pkg/                                                     
   336.984688617              92.52 Joules power/energy-pkg/                                                     
   337.985978476              92.64 Joules power/energy-pkg/                                                     
   338.987234033              92.43 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   339.988509190              99.11 Joules power/energy-pkg/                                                     
   340.989407759             100.25 Joules power/energy-pkg/                                                     
   341.993424427              98.77 Joules power/energy-pkg/                                                     
   342.995435309              99.08 Joules power/energy-pkg/                                                     
   344.002415582              98.41 Joules power/energy-pkg/                                                     
   345.003450664              91.25 Joules power/energy-pkg/                                                     
   346.005438155              96.42 Joules power/energy-pkg/                                                     
   347.010453012             102.49 Joules power/energy-pkg/                                                     
   348.011454353              96.59 Joules power/energy-pkg/                                                     
   349.016450303              95.51 Joules power/energy-pkg/                                                     
   350.017463554              93.65 Joules power/energy-pkg/                                                     
   351.022410499              93.20 Joules power/energy-pkg/                                                     
   352.023420475              93.22 Joules power/energy-pkg/                                                     
   353.027414780              93.81 Joules power/energy-pkg/                                                     
   354.030458181              91.51 Joules power/energy-pkg/                                                     
   355.036457618              89.90 Joules power/energy-pkg/                                                     
   356.038461689              92.17 Joules power/energy-pkg/                                                     
   357.042448176              93.69 Joules power/energy-pkg/                                                     
   358.046443766              96.40 Joules power/energy-pkg/                                                     
   359.048446636              94.89 Joules power/energy-pkg/                                                     
   360.054456247              90.26 Joules power/energy-pkg/                                                     
   361.055462912              92.76 Joules power/energy-pkg/                                                     
   362.058427047              92.47 Joules power/energy-pkg/                                                     
   363.061450238              94.63 Joules power/energy-pkg/                                                     
   364.065460564              91.99 Joules power/energy-pkg/                                                     
   365.066461552              91.92 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   366.069423544              96.64 Joules power/energy-pkg/                                                     
   367.075519736              99.97 Joules power/energy-pkg/                                                     
   368.077616400              99.27 Joules power/energy-pkg/                                                     
   369.078870826             101.21 Joules power/energy-pkg/                                                     
   370.079455898             101.02 Joules power/energy-pkg/                                                     
   371.084453436             105.50 Joules power/energy-pkg/                                                     
   372.085429836             105.02 Joules power/energy-pkg/                                                     
   373.086471295             104.63 Joules power/energy-pkg/                                                     
   374.088466399             103.89 Joules power/energy-pkg/                                                     
   375.091485633             103.25 Joules power/energy-pkg/                                                     
   376.092467056             104.29 Joules power/energy-pkg/                                                     
   377.099467425             108.52 Joules power/energy-pkg/                                                     
   378.100440183             106.40 Joules power/energy-pkg/                                                     
   379.101409667             107.27 Joules power/energy-pkg/                                                     
   380.102661811             107.74 Joules power/energy-pkg/                                                     
   381.104635886             105.90 Joules power/energy-pkg/                                                     
   382.105951597             101.83 Joules power/energy-pkg/                                                     
   383.107223796             101.17 Joules power/energy-pkg/                                                     
   384.108549951              99.12 Joules power/energy-pkg/                                                     
   385.109803583              97.93 Joules power/energy-pkg/                                                     
   386.111084620              97.00 Joules power/energy-pkg/                                                     
   387.112397954              96.92 Joules power/energy-pkg/                                                     
   388.113669447              97.32 Joules power/energy-pkg/                                                     
   389.114452704              96.46 Joules power/energy-pkg/                                                     
   390.116554697              96.18 Joules power/energy-pkg/                                                     
   391.117852211              95.88 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   392.119102618              94.28 Joules power/energy-pkg/                                                     
   393.120385355              94.24 Joules power/energy-pkg/                                                     
   394.121629853              93.82 Joules power/energy-pkg/                                                     
   395.122944891              93.26 Joules power/energy-pkg/                                                     
   396.124222691              93.66 Joules power/energy-pkg/                                                     
   397.125505288              93.61 Joules power/energy-pkg/                                                     
   398.126749765              94.15 Joules power/energy-pkg/                                                     
   399.127398667              91.56 Joules power/energy-pkg/                                                     
   400.128660006              91.59 Joules power/energy-pkg/                                                     
   401.129954807              91.18 Joules power/energy-pkg/                                                     
   402.131198651              90.77 Joules power/energy-pkg/                                                     
   403.132489667              91.17 Joules power/energy-pkg/                                                     
   404.133478710              93.34 Joules power/energy-pkg/                                                     
   405.134732574              94.30 Joules power/energy-pkg/                                                     
   406.135410353              94.75 Joules power/energy-pkg/                                                     
   407.136735035              99.42 Joules power/energy-pkg/                                                     
   408.138031021              93.32 Joules power/energy-pkg/                                                     
   409.139340259              92.41 Joules power/energy-pkg/                                                     
   410.140673997              91.52 Joules power/energy-pkg/                                                     
   411.141980892              93.21 Joules power/energy-pkg/                                                     
   412.143298320              95.17 Joules power/energy-pkg/                                                     
   413.144638951              95.74 Joules power/energy-pkg/                                                     
   414.145959644              97.55 Joules power/energy-pkg/                                                     
   415.146452666              99.13 Joules power/energy-pkg/                                                     
   416.150432547             101.95 Joules power/energy-pkg/                                                     
   417.151450247              99.43 Joules power/energy-pkg/                                                     
#           time             counts   unit events
   418.152461823              99.44 Joules power/energy-pkg/                                                     
   419.153428512              99.84 Joules power/energy-pkg/                                                     
   420.154454111              98.60 Joules power/energy-pkg/                                                     
   421.155420156              99.22 Joules power/energy-pkg/                                                     
   422.156449496              93.78 Joules power/energy-pkg/                                                     
   423.157454751              95.62 Joules power/energy-pkg/                                                     
   424.158430069              94.23 Joules power/energy-pkg/                                                     
   425.159443230              90.45 Joules power/energy-pkg/                                                     
   426.160454287              91.11 Joules power/energy-pkg/                                                     
   427.162416520              91.14 Joules power/energy-pkg/                                                     
   428.163427315              90.98 Joules power/energy-pkg/                                                     
   429.164461764              85.87 Joules power/energy-pkg/                                                     
   430.165426677              84.92 Joules power/energy-pkg/                                                     
   431.166422871              86.23 Joules power/energy-pkg/                                                     
   432.168456613              83.64 Joules power/energy-pkg/                                                     
   433.169463317              80.79 Joules power/energy-pkg/                                                     
   434.172453701              81.34 Joules power/energy-pkg/                                                     
   435.173434571              79.62 Joules power/energy-pkg/                                                     
   436.174399582              82.26 Joules power/energy-pkg/                                                     
